text,example_very_unclear,excitement,joy,pride,relief,anger,sadness,nervousness
This is the best day I've had in ages.,FALSE,0,1,0,0,0,0,0
This is an ordinary and plain example.,FALSE,0,0,0,1,0,0,0
"Wow, this changes everything so suddenly.",FALSE,1,0,0,0,0,0,0
You're truly a star in this team!,FALSE,0,0,1,0,0,0,0
This revelation is truly mind-blowing!,FALSE,1,0,0,0,0,0,0
Why can't things just go smoothly for once?,FALSE,0,0,0,0,1,0,0
I feel like a dark cloud is over me.,FALSE,0,0,0,0,0,0,1
I feel so out of place right now.,FALSE,0,0,0,0,0,1,0
Your presence brings me so much joy.,FALSE,0,1,0,0,0,0,0
My heart races every time I consider it.,FALSE,1,0,0,0,0,0,0
Nothing surprising in this statement.,FALSE,0,0,0,1,0,0,0
Regret is a heavy burden to bear.,FALSE,0,0,0,0,0,1,0
I have to applaud your exceptional effort.,FALSE,0,0,1,0,0,0,0
The thought of tomorrow keeps me up at night.,FALSE,0,0,0,0,0,0,1
The possibilities here are so intriguing.,FALSE,1,0,0,0,0,0,0
I'm feeling so nervous I can hardly think.,FALSE,0,0,0,0,0,0,1
I can't stop wondering about the next step.,FALSE,1,0,0,0,0,0,0
This really irritates me beyond belief!,FALSE,0,0,0,0,1,0,0
The weather outside is just fine.,FALSE,0,0,0,1,0,0,0
You always light up my day with kindness.,FALSE,0,0,1,0,0,0,0
"Amazing work, you inspire others.",FALSE,0,0,1,0,0,0,0
"I can't stop smiling, this is perfect!",FALSE,0,1,0,0,0,0,0
This makes my blood boil to the core!,FALSE,0,0,0,0,1,0,0
If only I could rewind the clock.,FALSE,0,0,0,0,0,1,0
I didn't see that coming at all!,FALSE,0,0,0,0,0,0,1
Joy fills my heart completely right now.,FALSE,0,1,0,0,0,0,0
That twist completely caught me off guard!,FALSE,1,0,0,0,0,0,0
Life feels so heavy right now.,FALSE,0,0,0,0,0,1,0
The tension in my chest won't go away.,FALSE,0,0,0,0,0,0,1
What would happen if we tried this approach?,FALSE,0,0,0,0,0,0,1
This is so awkward I can hardly stand it.,FALSE,0,0,0,0,0,0,1
Why does everything have to fall apart?,FALSE,0,0,0,0,0,1,0
I wish I could just escape this place.,FALSE,0,0,0,0,0,1,0
I can't imagine life without you in it.,FALSE,0,1,0,0,0,0,0
I feel so bad for my past decisions.,FALSE,0,0,0,0,0,1,0
You did a phenomenal job on this project!,FALSE,0,0,1,0,0,0,0
You're a wonderful part of my world.,FALSE,0,1,0,0,0,0,0
"Looking back, I see so many mistakes.",FALSE,0,0,0,0,0,1,0
This is an uneasy and unpleasant situation.,FALSE,0,0,0,0,0,0,1
It's hard to keep going like this.,FALSE,0,0,0,0,0,1,0
This puzzle has my full attention right now.,FALSE,1,0,0,0,0,0,0
I'm so fed up with all this nonsense.,FALSE,0,0,0,0,1,0,0
"You've been so thoughtful and caring, thank you.",FALSE,0,1,0,0,0,0,0
This place feels unfamiliar and unsettling.,FALSE,0,0,0,0,0,0,1
What lies ahead keeps me intrigued and excited.,FALSE,1,0,0,0,0,0,0
Every moment feels tense and nerve-wracking.,FALSE,0,0,0,0,0,0,1
Life continues without anything notable happening.,FALSE,0,0,0,0,0,1,0
My heart feels heavy thinking about this.,FALSE,0,0,0,0,0,1,0
Your effort has left a remarkable impact.,FALSE,0,0,1,0,0,0,0
I look back and wish I could change this.,FALSE,0,0,0,0,0,1,0
